"cutscene.cellien.serval.save.0"		"* That voice!"
"cutscene.cellien.serval.save.1"		"* Myamyamyamya~!"
"cutscene.cellien.serval.save.2"		"* Uh... Don't worry!&* You're in safe hands now!"
"cutscene.cellien.serval.save.3"		"* There we go!"

"cutscene.serval.greet.0"			"* Oh dear, I'm glad&  you’re awake!"
"cutscene.serval.greet.1"			"* It was very unnerving&  for me to see you like&  this!"
"cutscene.serval.greet.2"			"* That numbness of yours&  has frightened me even&  more!"
"cutscene.serval.greet.3"			"* I hope I was able to&  make you feel better&  after all this."
"cutscene.serval.greet.4"			"* Yes?"
"cutscene.serval.greet.5"			"* Ahhh... I can feel my&  capabilities already&  paying off!"
"cutscene.serval.greet.6"			"* Now tell me, what kind&  of a FRIEND are you?"
"cutscene.serval.greet.7"			"* You... don't even know?"
"cutscene.serval.greet.8"			"* There isn't any need to&  worry since the Japari&  Library exists!"
"cutscene.serval.greet.9"			"* It'll take you moments&  to traverse through&  areas and that's it."
"cutscene.serval.greet.10"			"* Although I can only&  guide you throughout&  this very place, but..."
"cutscene.serval.greet.11"			"* Come on, if you will,&  together let's march&  forward!"

"cutscene.serval.new_friend.0"			"* Hey look!&* Over there!"
"cutscene.serval.new_friend.1"			"* It appears I forgot&  to introduce you to&  the folk around here."
"cutscene.serval.new_friend.2"			"* And Zebra-chan is an&  example you've just&  seen over that spot."
"cutscene.serval.new_friend.3"			"* Though don't worry,&  as all the Friends&  here are harmless."
"cutscene.serval.new_friend.4"			"* Why don't you have&  a little conversation&  with her?"
"cutscene.serval.new_friend.5"			"* I'll be waiting here."

"cutscene.zebra.greet.0"			"* Oh, hello there..."
"cutscene.zebra.greet.1"			"* Ah, so you wished to&  talk with me a little?"
"cutscene.zebra.greet.2"			"* Well, sure thing!"

"cutscene.zebra.conversation.0"			"I... don't know&where to begin,&but..."
"cutscene.zebra.conversation.1"			"Ah, so usual topics&it is..."
"cutscene.zebra.conversation.2"			"Anyways, uh, how&are you?"
"cutscene.zebra.conversation.3"			"Well... I'm glad&you're fine..."
"cutscene.zebra.conversation.4"			"After all, the Park&is a nice place&to live in!"
"cutscene.zebra.conversation.5"			"And the only place to&live in..."
"cutscene.zebra.conversation.6"			"Although it got a&bit messy during&the outbreak of&CELLIENS..."
"cutscene.zebra.conversation.7"			"I'm still able to&maintain the comfort&of my well-being."
"cutscene.zebra.conversation.8"			"Not to loosen your&hopes up or anything,&but..."
"cutscene.zebra.conversation.9"			"Self defense is a&thing we all have&to learn."

"cutscene.zebra.conversation.3.alt"		"Oh... I'm saddened&to hear that..."
"cutscene.zebra.conversation.4.alt"		"But think about how&nice the atmosphere&here is...!"
"cutscene.zebra.conversation.5.alt"		"And how it's the&only place to live&in..."
"cutscene.zebra.conversation.6.alt"		"But that honestly&doesn't matter!"
"cutscene.zebra.conversation.7.alt"		"I'm still able to&maintain the comfort&of my well-being."
"cutscene.zebra.conversation.8.alt"		"So do you!"

"cutscene.zebra.conversation.1.alt"		"Ah, so about this&world it is..."
"cutscene.zebra.conversation.2.alt"		"Have anyone told&you about the&CELLIENS?"

"cutscene.zebra.conversation.3.alt.alt"		"I... guess we should&talk about something&else then..."
"cutscene.zebra.conversation.4.alt.alt"		"Did you know there is&a whole world&behind this place?"
"cutscene.zebra.conversation.5.alt.alt"		"And how it's the only&place to live in...?"
"cutscene.zebra.conversation.6.alt.alt"		"Someone has been&searching for someone&like you..."
"cutscene.zebra.conversation.7.alt.alt"		"She explained about&her hat being stolen,&and..."
"cutscene.zebra.conversation.8.alt.alt"		"Although she seems to&be misunderstanding&about you..."
"cutscene.zebra.conversation.9.alt.alt"		"You've got to keep&yourself safe, you&know?"
"cutscene.zebra.conversation.10.alt.alt"	"I was just saying."

"cutscene.zebra.conversation.3.alt.alt.alt"	"Oh... these deadly&monsters..."
"cutscene.zebra.conversation.4.alt.alt.alt"	"Their strong teeth,&and their monstrous&tentacles...
"cutscene.zebra.conversation.5.alt.alt.alt"	"Although most of them&are prone to death..."
"cutscene.zebra.conversation.6.alt.alt.alt"	"They cause severe&damage once you're hit."
"cutscene.zebra.conversation.7.alt.alt.alt"	"Okay, I've got to&calm myself down."

"cutscene.zebra.conversation.end.0"		"Well, that was a&great talk!"
"cutscene.zebra.conversation.end.1"		"You certainly have&the interest of&friendship."
"cutscene.zebra.conversation.end.2"		"Thank you!&Thank you for lowering&my shyness."
